Counter,Date,Time,LatitudeSensor1,LongitudeSensor1,MagSensor1,Signal1,Track,LocationSource,Hdop,FixQuality, SatellitesUsed, Altitude,HeightOverEllipsoid,SpeedOverGround,MagneticVariation,VariationDirection,ModeIndicator,GgaSentence,RmcSentence,EventCode,EventInfo,EventText,EventData,,,,,,,,,,,,,,,,,,,,,,
15295,7/6/2022,26:25.3,43.9887745,-112.2965443,53098.735,1458,323.1,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15296,7/6/2022,26:25.4,43.9887745,-112.2965443,53097.485,1455,310.8,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15297,7/6/2022,26:25.5,43.9887745,-112.2965443,53095.924,1455,298.5,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15298,7/6/2022,26:25.6,43.9887745,-112.2965443,53094.89,1458,286.2,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15299,7/6/2022,26:25.7,43.9887745,-112.2965443,53095.54,1455,273.9,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15300,7/6/2022,26:25.8,43.9887745,-112.2965443,53096.044,1455,261.6,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15301,7/6/2022,26:25.9,43.9887745,-112.2965443,53095.299,1460,249.3,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15302,7/6/2022,26:26.0,43.9887745,-112.2965443,53095.084,1467,237,G,0.6,2,18,1482.59,-17,0.6,0, ,D,'$GPGGA,162626,4359.32647,N,11217.79266,W,2,18,0.6,1482.59,M,-17,M,,*6A','$GPRMC,162626,A,4359.32647,N,11217.79266,W,0.6,237,60722,,,D*78'
15303,7/6/2022,26:26.1,43.98877452,-112.2965445,53094.765,1472,241.8,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15304,7/6/2022,26:26.2,43.98877453,-112.2965446,53093.882,1479,246.7,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15305,7/6/2022,26:26.3,43.98877455,-112.2965448,53093.568,1482,251.5,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15306,7/6/2022,26:26.4,43.98877457,-112.2965449,53093.402,1477,256.3,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15307,7/6/2022,26:26.5,43.98877458,-112.2965451,53094.604,1455,261.2,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15308,7/6/2022,26:26.6,43.9887746,-112.2965452,53092.728,1455,266,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15309,7/6/2022,26:26.7,43.98877462,-112.2965454,53092.178,1450,270.8,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15310,7/6/2022,26:26.8,43.98877463,-112.2965455,53092.656,1455,275.6,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15311,7/6/2022,26:26.9,43.98877465,-112.2965457,53094.868,1460,280.5,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
