lat,lon,el_ft
43.99112862,-112.4182641,"4853.6	"
43.99108394,-112.4158609,"4858.5						"
43.99108323,-112.4158501,"4858.5						"
43.99108323,-112.4158423,"4858.5						"
43.99108252,-112.4158354,"4858.6						"
43.99108252,-112.4158315,"4858.6						"
43.99108252,-112.4158275,"4858.6						"
43.99108252,-112.4158177,"4858.6						"
43.99108252,-112.4158109,"4858.6						"
43.99108182,-112.4158089,"4858.6						"
43.99108182,-112.415805,"4858.6						"
43.99108111,-112.4157981,"4858.6						"
43.99108041,-112.4157893,"4858.7						"
43.99108041,-112.4157834,"4858.7						"
43.9910797,-112.4157755,"4858.7						"
43.9910797,-112.4157736,"4858.7						"
43.9910797,-112.4157686,"4858.7						"
43.9910797,-112.4157637,"4858.7						"
43.9910797,-112.4157539,"4858.7						"
43.9910797,-112.415752,"4858.7						"
43.9910797,-112.4157451,"4858.7						"
43.9910797,-112.4157392,"4858.8						"
43.9910797,-112.4157294,"4858.8						"
43.9910797,-112.4157255,"4858.8						"
43.9910797,-112.4157196,"4858.8						"
43.9910797,-112.4157127,"4858.8						"
43.9910797,-112.4157059,"4858.8						"
43.9910797,-112.4157,"4858.8						"
43.9910797,-112.4156892,"4858.9						"
43.9910797,-112.4156833,"4858.9						"
43.99107899,-112.4156774,"4858.9						"
43.99107829,-112.4156676,"4858.9						"
43.99107829,-112.4156539,"4858.9						"
43.99107828,-112.4156499,"4858.9						"
43.99107829,-112.4156431,"4858.9						"
43.99107829,-112.4156303,"4859.0						"
43.99107829,-112.4156254,"4859.0						"
43.99107758,-112.4156165,"4859.0						"
43.99107758,-112.4156038,"4859.0						"
43.99107758,-112.4155939,"4859.0						"
43.99107758,-112.415588,"4859.0						"
43.99107758,-112.4155812,"4859.1						"
43.99107758,-112.4155743,"4859.1						"
43.99107758,-112.4155693,"4859.1						"
43.99107758,-112.4155615,"4859.1						"
43.99107758,-112.4155536,"4859.1						"
43.99107758,-112.4155496,"4859.1						"
43.99107687,-112.4155418,"4859.1						"
43.99107687,-112.4155398,"4859.1						"
43.99107687,-112.4155349,"4859.2						"
43.99107686,-112.415527,"4859.2						"
43.99107686,-112.415519,"4859.2						"
43.99107686,-112.4155131,"4859.2						"
43.99107686,-112.4155072,"4859.2						"
43.99107757,-112.4155002,"4859.2						"
43.99107828,-112.4154914,"4859.2						"
43.99107828,-112.4154854,"4859.2						"
43.99107899,-112.4154765,"4859.3						"
43.99107899,-112.4154726,"4859.3						"
43.99107899,-112.4154647,"4859.3						"
43.99107899,-112.4154597,"4859.3						"
43.99107899,-112.4154548,"4859.3						"
43.99107899,-112.4154499,"4859.3						"
43.99107899,-112.415438,"4859.3						"
